Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,True,Available,JTDACAAU0R150CS80,Toyota of Des Moines,IA
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,At dealer,False,Available,JTDACAAU0R3015306,Rolling Hills Toyota,MO
2024,Limited FWD,Wind Chill Pearl,34665,0.0,34665.0,At dealer,True,DealerHold,JTDACAAU0R3016679,Frank Fletcher Toyota,MO
2024,Limited FWD,Guardian Gray,34665,0.0,34665.0,At dealer,False,DealerHold,JTDACAAU0R3016844,Coad Toyota,MO
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,At dealer,False,DealerHold,JTDACAAU0R3017007,Jim White Toyota,OH
2024,XLE FWD,Wind Chill Pearl,31095,1499.0,32594.0,At dealer,False,DealerHold,JTDACAAU0R3017413,Robbins Toyota,TX
2024,Limited FWD,Guardian Gray,34665,0.0,34665.0,At dealer,False,Available,JTDACAAU0R3017458,Gray-Daniels Toyota,MS
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,At dealer,False,Available,JTDACAAU0R3017508,Hanlees Fairfield Toyota,CA
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,At dealer,True,DealerHold,JTDACAAU0R3017668,Maita's Toyota of Sacramento,CA
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,At dealer,False,,JTDACAAU0R3017766,Santa Cruz Toyota,CA
2024,LE FWD,Cutting Edge,27650,0.0,27650.0,At dealer,False,,JTDACAAU0R3017797,Future Toyota of Yuba City,CA
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,At dealer,True,DealerHold,JTDACAAU0R3017802,Toyota of Ardmore,OK
2024,LE FWD,Guardian Gray,27650,0.0,27650.0,At dealer,False,DealerHold,JTDACAAU0R3017850,Jimmy Vasser Toyota,CA
2024,Limited FWD,Wind Chill Pearl,34665,1995.0,36660.0,At dealer,True,DealerHold,JTDACAAU0R3017931,Cavender Toyota,TX
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,At dealer,False,Available,JTDACAAU0R3017976,Mike Shaw Toyota,TX
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU0R3018013,Cloninger Toyota,NC
2024,Limited FWD,Midnight Black Metallic,34665,0.0,34665.0,At dealer,False,,JTDACAAU0R3018030,AutoNation Toyota Cerritos,CA
2024,LE FWD,Guardian Gray,27650,0.0,27650.0,At dealer,False,,JTDACAAU0R3018125,Jerry's Toyota,MD
2024,LE FWD,Guardian Gray,27650,0.0,27650.0,At dealer,True,DealerHold,JTDACAAU0R3018156,Conicelli Toyota of Springfield,PA
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,At dealer,False,,JTDACAAU0R3018173,Fremont Toyota,CA
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU0R3018254,Peter Boulware Toyota,FL
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,False,DealerHold,JTDACAAU0R3018271,Battlefield Toyota,VA
2024,Limited FWD,Midnight Black Metallic,34665,0.0,34665.0,At dealer,False,,JTDACAAU0R3018299,Capitol Toyota,CA
2024,LE FWD,Cutting Edge,27650,1978.0,29628.0,Port to dealer,False,,JTDACAAU0R3018366,Chuck Hutton Toyota,TN
2024,Limited FWD,Wind Chill Pearl,34665,0.0,34665.0,At dealer,False,DealerHold,JTDACAAU0R3018402,Toyota of Greenville,SC
2024,LE FWD,Guardian Gray,27650,0.0,27650.0,At dealer,True,DealerHold,JTDACAAU0R3018416,Kerry Toyota,KY
2024,LE FWD,Supersonic Red,27650,0.0,27650.0,Port to dealer,False,DealerHold,JTDACAAU0R3018464,Jim Coleman Toyota,MD
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Port to dealer,False,DealerHold,JTDACAAU0R3018481,New Holland Toyota,PA
2024,LE FWD,Supersonic Red,27650,0.0,27650.0,Port to dealer,True,Available,JTDACAAU0R3018500,Hanover Toyota,PA
2024,LE FWD,Cutting Edge,27650,0.0,27650.0,Port to dealer,True,DealerHold,JTDACAAU0R3018514,Toyota of Louisville,KY
2024,LE FWD,Wind Chill Pearl,27650,2295.0,29945.0,Port to dealer,True,Available,JTDACAAU0R3018576,Desert Toyota of Tucson,AZ
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,False,,JTDACAAU0R3018643,Sheehy Toyota of Laurel,MD
2024,XLE FWD,Guardian Gray,31095,1098.0,32193.0,Factory to port,True,DealerHold,JTDACAAU0R3018707,Toyota of Cedar Park,TX
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU0R3018738,Toyota of Anaheim,CA
2024,Limited FWD,Midnight Black Metallic,34665,0.0,34665.0,Port to dealer,False,DealerHold,JTDACAAU0R3018769,Johnson City Toyota,TN
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Port to dealer,False,DealerHold,JTDACAAU0R3018786,Toyota of Somerset,KY
2024,Limited FWD,Guardian Gray,34665,0.0,34665.0,At dealer,False,DealerHold,JTDACAAU0R3018819,Toyota of Huntington Beach,CA
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU0R3018853,Toyota of San Bernardino,CA
2024,Limited FWD,Supersonic Red,34665,0.0,34665.0,At dealer,False,,JTDACAAU0R3018903,Centennial Toyota,NV
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,True,DealerHold,JTDACAAU0R3018934,Bob Howard Toyota,OK
2024,XLE FWD,Supersonic Red,31095,0.0,31095.0,Port to dealer,True,Available,JTDACAAU0R3018948,Wilson Toyota,IA
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,At dealer,False,DealerHold,JTDACAAU0R3019047,Toyota of Glendora,CA
2024,XLE FWD,Supersonic Red,31095,1895.0,32990.0,Factory to port,False,Available,JTDACAAU0R3019064,Don McGill Toyota,TX
2024,XLE FWD,Reservoir Blue,31095,0.0,31095.0,Factory to port,False,Available,JTDACAAU0R3019078,Toyota of Fort Walton Beach,FL
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,False,DealerHold,JTDACAAU0R3019100,Toyota Knoxville,TN
2024,XLE FWD,Wind Chill Pearl,31095,799.0,31894.0,Factory to port,False,Available,JTDACAAU0R3019128,Landers Toyota NWA,AR
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Port to dealer,True,Available,JTDACAAU0R3019145,Hesser Toyota,WI
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,At dealer,False,,JTDACAAU0R3019260,I-10 Toyota,CA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,False,DealerHold,JTDACAAU0R3019338,Toyota of Huntington Beach,CA
2024,Limited FWD,Wind Chill Pearl,34665,0.0,34665.0,At dealer,True,DealerHold,JTDACAAU0R3019467,I-10 Toyota,CA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,False,DealerHold,JTDACAAU0R3019579,Temecula Valley Toyota,CA
2024,Limited FWD,Guardian Gray,34665,3974.0,38639.0,Port to dealer,False,,JTDACAAU0R3019629,Claremont Toyota,CA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,False,DealerHold,JTDACAAU0R3019677,Mark Miller Toyota,UT
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Port to dealer,False,DealerHold,JTDACAAU0R3019713,"Fort Dodge Ford, Lincoln, Toyota",IA
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,Port to dealer,False,DealerHold,JTDACAAU0R3019730,Toyota of Kingsport,TN
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3019775,DARCARS Toyota,MD
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Port to dealer,False,DealerHold,JTDACAAU0R3019792,Toyota of North Hollywood,CA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU0R3019825,Toyota Place,CA
2024,Limited FWD,Guardian Gray,34665,0.0,34665.0,Port to dealer,False,DealerHold,JTDACAAU0R3019842,Kings Toyota,OH
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,False,DealerHold,JTDACAAU0R3019906,Joseph Toyota of Cincinnati,OH
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,At dealer,False,DealerHold,JTDACAAU0R3019968,City Toyota,CA
2024,XLE FWD,Midnight Black Metallic,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3019985,Toyota of York,PA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,False,,JTDACAAU0R3019999,Cabe Toyota Long Beach,CA
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Factory to port,False,DealerHold,JTDACAAU0R3020067,Sheehy Toyota of Laurel,MD
2024,Limited FWD,Wind Chill Pearl,34665,0.0,34665.0,Port to dealer,False,,JTDACAAU0R3020070,North Bakersfield Toyota,CA
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,Port to dealer,True,DealerHold,JTDACAAU0R3020277,Seeger Toyota of St. Robert,MO
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,Port to dealer,False,DealerHold,JTDACAAU0R3020327,Carver Toyota of Columbus,IN
2024,XLE FWD,Midnight Black Metallic,31095,1098.0,32193.0,Port to dealer,False,,JTDACAAU0R3020361,Toyota of Terre Haute,IN
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,False,,JTDACAAU0R3020389,Toyota on Edens,IL
2024,Limited FWD,Wind Chill Pearl,34665,0.0,34665.0,Port to dealer,False,,JTDACAAU0R3020392,Mossy Toyota,CA
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3020442,Loyalty Toyota,VA
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,Port to dealer,True,DealerHold,JTDACAAU0R3020473,Avondale Toyota,AZ
2024,XLE FWD,Reservoir Blue,31095,0.0,31095.0,Port to dealer,False,,JTDACAAU0R3020487,Golling Toyota of Warren,MI
2024,LE FWD,Guardian Gray,27650,0.0,27650.0,Port to dealer,False,Available,JTDACAAU0R3020523,Stevens Creek Toyota,CA
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Port to dealer,False,,JTDACAAU0R3020540,Toyota of Escondido,CA
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Factory to port,False,DealerHold,JTDACAAU0R3020568,Temecula Valley Toyota,CA
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,Factory to port,True,DealerHold,JTDACAAU0R3020571,Conicelli Toyota,PA
2024,Limited FWD,Supersonic Red,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3020604,Culver City Toyota,CA
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3020618,Toyota of San Bernardino,CA
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,Factory to port,False,,JTDACAAU0R3020733,Gosch Toyota,CA
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,Factory to port,False,,JTDACAAU0R3020747,Freeway Toyota of Hanford,CA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,False,,JTDACAAU0R3020750,Dan Hecht Chevrolet/Toyota,IL
2024,LE FWD,Supersonic Red,27650,0.0,27650.0,Factory to port,True,DealerHold,JTDACAAU0R3020778,Toyota Chula Vista,CA
2024,LE FWD,Guardian Gray,27650,0.0,27650.0,Port to dealer,True,Available,JTDACAAU0R3020795,Walker Toyota,OH
2024,LE FWD,Cutting Edge,27650,0.0,27650.0,Port to dealer,False,,JTDACAAU0R3020814,Concord Toyota,CA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,False,DealerHold,JTDACAAU0R3020828,Fort Wayne Toyota,IN
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Factory to port,True,Available,JTDACAAU0R3020845,Toyota of Orange,CA
2024,XLE FWD,Reservoir Blue,31095,0.0,31095.0,Port to dealer,False,,JTDACAAU0R3020893,Thousand Oaks Toyota,CA
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Port to dealer,True,,JTDACAAU0R3020909,San Francisco Toyota,CA
2024,LE FWD,Supersonic Red,27650,1978.0,29628.0,Port to dealer,False,,JTDACAAU0R3020960,Chuck Hutton Toyota,TN
2024,Limited FWD,Guardian Gray,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3020991,Mossy Toyota,CA
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3021042,Jim Coleman Toyota,MD
2024,LE FWD,Cutting Edge,27650,0.0,27650.0,Port to dealer,False,DealerHold,JTDACAAU0R3021056,Victory Toyota,MI
2024,LE FWD,Cutting Edge,27650,0.0,27650.0,Factory to port,False,,JTDACAAU0R3021073,AutoNation Toyota Cerritos,CA
2024,XLE FWD,Cutting Edge,31095,1995.0,33090.0,Factory to port,False,,JTDACAAU0R3021087,Toyota of Orange,CA
2024,LE FWD,Supersonic Red,27650,0.0,27650.0,Factory to port,False,DealerHold,JTDACAAU0R3021137,Hertrich Toyota of Pocomoke,MD
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,Factory to port,True,DealerHold,JTDACAAU0R3021221,Toyota of Louisville,KY
2024,LE FWD,Cutting Edge,27650,0.0,27650.0,Factory to port,True,DealerHold,JTDACAAU0R3021249,Fitzgerald Toyota Gaithersburg,MD
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,Factory to port,True,,JTDACAAU0R3021266,Faulkner Toyota,PA
2024,LE FWD,Cutting Edge,27650,0.0,27650.0,Factory to port,False,,JTDACAAU0R3021316,Mid City Toyota,CA
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3021347,Thousand Oaks Toyota,CA
2024,XLE FWD,Guardian Gray,31095,1290.0,32385.0,Factory to port,True,,JTDACAAU0R3021350,Toyota of Redlands,CA
2024,Limited FWD,Wind Chill Pearl,34665,1995.0,36660.0,Factory to port,False,,JTDACAAU0R3021395,Toyota of Orange,CA
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,False,DealerHold,JTDACAAU0R3021400,Hertrich Toyota,DE
2024,LE FWD,Guardian Gray,27650,0.0,27650.0,Factory to port,False,DealerHold,JTDACAAU0R3021428,Toyota of San Bernardino,CA
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Factory to port,True,DealerHold,JTDACAAU0R3021462,Capistrano Valley Toyota,CA
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3021493,Keyes Toyota,CA
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,Factory to port,False,,JTDACAAU0R3021509,Beaman Toyota,TN
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3021557,Lake Toyota,ND
2024,XLE FWD,Midnight Black Metallic,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3021560,McDonough Toyota,VA
2024,LE FWD,Reservoir Blue,27650,0.0,27650.0,Factory to port,False,,JTDACAAU0R3021588,Ourisman Chantilly Toyota,VA
2024,LE FWD,Cutting Edge,27650,0.0,27650.0,Factory to port,False,,JTDACAAU0R3021591,Tony Divino Toyota,UT
2024,Limited FWD,Midnight Black Metallic,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3021610,Crown Toyota,KS
2024,LE FWD,Supersonic Red,27650,0.0,27650.0,Factory to port,False,,JTDACAAU0R3021638,Berglund Toyota,VA
2024,Limited FWD,Guardian Gray,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3021672,Maita's Toyota of Sacramento,CA
2024,Limited FWD,Midnight Black Metallic,34665,3974.0,38639.0,Factory to port,False,,JTDACAAU0R3021686,Claremont Toyota,CA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Factory to port,False,Available,JTDACAAU0R3021722,Stevens Creek Toyota,CA
2024,LE FWD,Midnight Black Metallic,27650,0.0,27650.0,Factory to port,True,DealerHold,JTDACAAU0R3021753,Capistrano Valley Toyota,CA
2024,XLE FWD,Cutting Edge,31095,999.0,32094.0,Factory to port,False,DealerHold,JTDACAAU0R3021770,Janzen Toyota,OK
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Factory to port,False,DealerHold,JTDACAAU0R3021784,Toyota of Selma,CA
2024,LE FWD,Supersonic Red,27650,0.0,27650.0,Factory to port,False,,JTDACAAU0R3021803,DARCARS Toyota,MD
2024,Limited FWD,Guardian Gray,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3021817,Stevens Creek Toyota,CA
2024,LE FWD,Reservoir Blue,27650,0.0,27650.0,Factory to port,True,DealerHold,JTDACAAU0R3021879,Rick McGill's Airport Toyota,TN
2024,Limited FWD,Wind Chill Pearl,34665,3085.0,37750.0,Factory to port,False,,JTDACAAU0R3021896,Toyota of Glendale,CA
2024,XLE FWD,Midnight Black Metallic,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3021929,Toyota of Downtown LA,CA
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,False,Available,JTDACAAU0R3021994,Red River Toyota,AR
2024,Limited FWD,Reservoir Blue,34665,1895.0,36560.0,Factory to port,False,Available,JTDACAAU0R3022000,Don McGill Toyota,TX
2024,XLE FWD,Midnight Black Metallic,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3022028,Sheehy Toyota of Laurel,MD
2024,Limited FWD,Midnight Black Metallic,34665,3974.0,38639.0,Factory to port,False,,JTDACAAU0R3022059,Claremont Toyota,CA
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3022143,University Toyota,WV
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Factory to port,True,DealerHold,JTDACAAU0R3022160,Precision Toyota of Tucson,AZ
2024,LE FWD,Supersonic Red,27650,0.0,27650.0,Factory to port,False,,JTDACAAU0R3022188,Danville Toyota,VA
2024,Limited FWD,Reservoir Blue,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3022224,Longo Toyota,CA
2024,Limited FWD,Midnight Black Metallic,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3022322,Toyota of Poway,CA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3022353,Freeway Toyota of Hanford,CA
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,Factory to port,False,DealerHold,JTDACAAU0R3022403,Groove Toyota,CO
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,False,DealerHold,JTDACAAU0R3022417,Toyota of Downtown LA,CA
2024,XLE FWD,Supersonic Red,31095,0.0,31095.0,Factory to port,False,Available,JTDACAAU0R3022448,Family Toyota of Burleson,TX
2024,Limited FWD,Wind Chill Pearl,34665,3085.0,37750.0,Factory to port,False,,JTDACAAU0R3022465,Toyota of Glendale,CA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3022482,Tustin Toyota,CA
2024,LE FWD,Reservoir Blue,27650,0.0,27650.0,Factory to port,True,DealerHold,JTDACAAU0R3022529,Voss Toyota,OH
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Factory to port,False,,JTDACAAU0R3022546,Toyota of Riverside,CA
2024,Limited FWD,Wind Chill Pearl,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3022630,Toyota Carlsbad,CA
2024,Limited FWD,Reservoir Blue,34665,0.0,34665.0,Factory to port,False,Available,JTDACAAU0R3022742,David Wilson's Toyota of Las Vegas,NV
2024,Limited FWD,Supersonic Red,34665,0.0,34665.0,Factory to port,True,DealerHold,JTDACAAU0R3022756,Bommarito Toyota,MO
2024,Limited FWD,Guardian Gray,34665,0.0,34665.0,Factory to port,False,DealerHold,JTDACAAU0R3022837,Toyota of Huntington Beach,CA
2024,Limited FWD,Wind Chill Pearl,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3022854,Toyota of North Hollywood,CA
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3022871,Longo Toyota,CA
2024,Limited FWD,Supersonic Red,34665,0.0,34665.0,Factory to port,False,,JTDACAAU0R3022885,Freeman Toyota,CA
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Factory to port,False,,JTDACAAU1R150AD73,DCH Toyota of Oxnard,CA
2024,XLE FWD,Supersonic Red,31095,0.0,31095.0,Factory to port,True,DealerHold,JTDACAAU1R150BJ71,"Stapp Interstate Toyota, Inc.",CO
2024,XLE FWD,Supersonic Red,31095,699.0,31794.0,Factory to port,False,Available,JTDACAAU1R151ER55,Landers Toyota,AR
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Port to dealer,True,DealerHold,JTDACAAU1R3015153,Kenny Kent Toyota,IN
2024,Limited FWD,Wind Chill Pearl,34665,0.0,34665.0,Port to dealer,False,DealerHold,JTDACAAU1R3015461,Clint Bowyer Toyota,KS
2024,LE FWD,Midnight Black Metallic,27650,1695.0,29345.0,At dealer,False,DealerHold,JTDACAAU1R3016478,All Star Toyota of Baton Rouge,LA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,False,DealerHold,JTDACAAU1R3016531,Crown Toyota,IL
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,At dealer,False,DealerHold,JTDACAAU1R3016710,Motor Inn Toyota of Carroll,IA
2024,XLE FWD,Midnight Black Metallic,31095,0.0,31095.0,At dealer,True,Available,JTDACAAU1R3017372,Universal Toyota,TX
2024,Limited FWD,Midnight Black Metallic,34665,450.0,35115.0,At dealer,False,Available,JTDACAAU1R3017419,Valley Hi Toyota,CA
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,At dealer,False,DealerHold,JTDACAAU1R3017596,Family Toyota of Burleson,TX
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU1R3017629,Tuscaloosa Toyota,AL
2024,XLE FWD,Wind Chill Pearl,31095,799.0,31894.0,Port to dealer,True,Available,JTDACAAU1R3017646,John Eagle Sport City Toyota,TX
2024,Limited FWD,Midnight Black Metallic,34665,1495.0,36160.0,Factory to port,True,DealerHold,JTDACAAU1R3017694,Sterling McCall Toyota,TX
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,True,DealerHold,JTDACAAU1R3017727,Pat Lobb Toyota of McKinney,TX
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU1R3017758,Pitts Toyota,GA
2024,LE FWD,Supersonic Red,27650,0.0,27650.0,At dealer,True,DealerHold,JTDACAAU1R3017792,Mike Calvert Toyota,TX
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,False,,JTDACAAU1R3017887,Tustin Toyota,CA
2024,LE FWD,Supersonic Red,27650,0.0,27650.0,At dealer,True,DealerHold,JTDACAAU1R3017906,Community Toyota,TX
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU1R3017999,Milton Martin Toyota,GA
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,At dealer,False,,JTDACAAU1R3018084,Antioch Toyota,CA
2024,LE FWD,Cutting Edge,27650,0.0,27650.0,At dealer,False,Available,JTDACAAU1R3018134,Doral Toyota,FL
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,True,DealerHold,JTDACAAU1R3018201,Jeff Wyler Toyota of Clarksville,IN
2024,XLE FWD,Midnight Black Metallic,31095,0.0,31095.0,Port to dealer,False,DealerHold,JTDACAAU1R3018294,Lou Fusz Toyota,MO
2024,LE FWD,Reservoir Blue,27650,0.0,27650.0,At dealer,False,Available,JTDACAAU1R3018327,Treasure Coast Toyota of Stuart,FL
2024,Limited FWD,Reservoir Blue,34665,0.0,34665.0,Port to dealer,False,,JTDACAAU1R3018330,Hatch Toyota Stateline,NM
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Port to dealer,False,Available,JTDACAAU1R3018358,Toyota on Edens,IL
2024,XLE FWD,Midnight Black Metallic,31095,0.0,31095.0,Port to dealer,False,DealerHold,JTDACAAU1R3018392,Twin City Toyota,MO
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,False,Available,JTDACAAU1R3018408,Toyota of Southern Maryland,MD
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU1R3018456,Cobb County Toyota,GA
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,Port to dealer,False,DealerHold,JTDACAAU1R3018487,Tri County Toyota,PA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Port to dealer,False,,JTDACAAU1R3018490,Lewis Toyota of Dodge City,KS
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU1R3018537,Toyota of Poway,CA
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,At dealer,False,DealerHold,JTDACAAU1R3018554,Toyota of North Hollywood,CA
2024,Limited FWD,Wind Chill Pearl,34665,0.0,34665.0,At dealer,False,Available,JTDACAAU1R3018649,Griffin Toyota,NC
2024,XLE FWD,Guardian Gray,31095,0.0,31095.0,Factory to port,False,DealerHold,JTDACAAU1R3018702,Nalley Toyota Stonecrest,GA
2024,XLE FWD,Cutting Edge,31095,2887.0,33982.0,At dealer,False,DealerHold,JTDACAAU1R3018716,Lost Pines Toyota,TX
2024,XLE FWD,Reservoir Blue,31095,0.0,31095.0,At dealer,False,DealerHold,JTDACAAU1R3018747,Ventura Toyota,CA
2024,LE FWD,Guardian Gray,27650,0.0,27650.0,At dealer,False,Available,JTDACAAU1R3018750,Carlock Toyota of Tupelo,MS
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,At dealer,False,,JTDACAAU1R3018778,Tustin Toyota,CA
2024,Limited FWD,Cutting Edge,34665,0.0,34665.0,At dealer,True,DealerHold,JTDACAAU1R3018876,Victory Toyota,CA
2024,XLE FWD,Supersonic Red,31095,0.0,31095.0,At dealer,False,Available,JTDACAAU1R3018943,Right Toyota,AZ
2024,Limited FWD,Wind Chill Pearl,34665,0.0,34665.0,Port to dealer,False,Available,JTDACAAU1R3018957,Doc's Toyota,MS
2024,LE FWD,Cutting Edge,27650,0.0,27650.0,Factory to port,False,DealerHold,JTDACAAU1R3018960,Lugoff Toyota,SC
2024,LE FWD,Wind Chill Pearl,27650,0.0,27650.0,Factory to port,True,DealerHold,JTDACAAU1R3019008,Newark Toyotaworld,DE
2024,Limited FWD,Midnight Black Metallic,34665,0.0,34665.0,At dealer,False,,JTDACAAU1R3019039,Antioch Toyota,CA
2024,LE FWD,Guardian Gray,27650,0.0,27650.0,Factory to port,False,DealerHold,JTDACAAU1R3019087,Heritage Toyota Owings Mills,MD
2024,XLE FWD,Wind Chill Pearl,31095,0.0,31095.0,Factory to port,False,DealerHold,JTDACAAU1R3019090,Beaver Toyota of Cumming,GA
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,False,Available,JTDACAAU1R3019154,Doral Toyota,FL
2024,XLE FWD,Cutting Edge,31095,0.0,31095.0,Factory to port,False,DealerHold,JTDACAAU1R3019185,Hall Toyota Virginia Beach,VA
